id,word,meaning,level
3048,back,背中,6
3049,exclusive,専用の,6
3050,handheld,手で持てる,6
3051,signal+B203,信号,6
3052,rise to, に立ち向かう,6
3053,platter,大皿料理,6
3054,irritation,炎症,6
3055,apply to,塗る,6
3056,cracked,ひびが入っている,6
3057,spokesperson,広告担当者,6
3058,optimal,最適な,6
3059,appliance,器具,6
3060,commercial,市販の,6
3061,cleaning solution,洗浄液,6
3062,reservoir,給水タンク,6
3063,residue,残留物,6
3064,implement,実現する・道具,6
3065,time frame,時間内,6
3066,going forward,これから,6
3067,designate,指定する,6
3068,jeopadize,危うくする,6
3069,obligation,責務,6
3070,stay,芯・支え,6
3071,strip,細長い一片,6
3072,crisp,ぱりっとした,6
3073,tab,服の垂れ飾り,6
3074,stiffener,補強するもの・芯,6
3075,glue,接着剤でつける,6
3076,fkimsy,もろい,6
3077,assort,仕分ける,6
3078,carry,取り扱う,6
3079,deluxe,高級な,6
3080,brass,真鍮,6
3081,consevancy,保護,6
3082,interoffice,社内の,6
3083,sealed,封をした,6
3084,envelope,封筒,6
3085,check with,相談する,6
3086,stain ,染色する,6
3087,finish ,仕上げ,6
3088,grain,木目,6
3089,pattern ,模様,6
3090,scratch,傷,6
3091,carve,彫る,6
3092,urgency,緊急性,6
3093,take a precaution,予防策を講じる,6
3094,duration,期限・感覚,6
3095,packing slip,梱包表,6
3096,inadvertently,うっかり,6
3097,sticker,シール,6
3098,spot,気づく,6
3099,affix,貼る,6
3100,coalition,連合会,6
3101,tote,手提げバック,6
3102,eatery,レストラン,6
3103,suite,一続きの部屋,6
3104,throughout,の至る所に,6
3105,break room,休憩室,6
3106,cubicle,作業区画,6
3107,attachment,添付ファイル,6
3108,dine out,外食する,6
3109,top a with b,aにbを乗せる,6
3110,fluctuate,変動する,6
3111,revenue,収益,6
3112,vice ,副,6
